AC12 Concessions, brevets, licences, marques
AC13 Fonds commercial
AC2 Actifs corporels d'exploitation
AC21 Installations techniques et machines
AC22 Autres installations, outillage et mobilier
AC3 Placements
AC31 Terrains et constructions
AC311 Terrains et constructions d'exploitation
AC312 Terrains et constructions hors exploitation
STAR,4,1,,,,,,,,,,,52 071 161,6 478 205,45 592 956,37 320 154,75 948 053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,4,1,,,,,,,,,,,,"0
0","7 469 376
0","5 453 201
0","14 793 614
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,4,1,,,,,,,,,,,7 469 376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,4,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,4,1,"résultat technique de l'assurance et/ou de la
RTNV
réassurance non vie",,+/-,,,,,,,,14 599 216,13 664 343,934 873,-5 487 684,-133 141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,5,1,,,,,,,,,,,30/06/2025,,30/06/2025,30/06/2024,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,5,1,,,,,,,,,,,,,,,,,30/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,5,1,"PRV1 Primes
PRV11 Primes émises et acceptées
PRV2 Produits de placements
PRV21 Revenus des placements
PRV22 Produits des autres placements
Reprise de corrections de valeur sur
PRV23
placements
Profits provenant de la réalisation des
PRV24
placements et de change
PRV4 Autres produits techniques
CHV1 Charge de sinistres
CHV11 Montants payés
CHV12 Variation de la provision pour sinistres
CHV2 Variation des autres provisions techniques
CHV21 Provision d'assurance vie
CHV3 Participation aux bénéfices et ristournes
CHV4 Frais d'exploitation
CHV41 Frais d'acquisition
Variation du montant des frais d'acquisition
CHV42
reportés
CHV43 Frais d'administration
CHV44 commissions reçues des réassureurs
CHV5 Autres charges techniques
CHV9 Charges de placements
Charges de gestion des placements, y
CHV91
compris les charges d'intérêt
CHV92 Correction de valeur sur placements
Pertes provenant de la réalisation des
CHV93
placements
CHV10 Moins values non réalisées sur placements
Produits de placements alloués, transférés
CHNT2
à l'état de résultat",,,,,,,,,,"30 344 427
5 703 561",,"29 962 927
5 703 561","25 175 405
5 670 691","51 381 189
11 033 082","+
+
+
+
+
+
-
+/-
+/-
-
+/-
-
+
-
-
-
-
-
-","381 500
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,5,1,,,,,,,,,,,5 703 561,,5 703 561,5 670 691,11 033 082,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR,5,1,,,,,,,,,,,"0
108 873",,"0
108 873","0
220 751","0
220 488",,"0
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
